Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,Num_views,Num_ratings,Avg_ratings
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,387,247,9.1
To Kill a Mockingbird,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,510,267,9.0
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg,347,211,9.0
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,428,277,9.0
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg,368,205,8.9
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg,575,315,8.9
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg,556,326,8.8
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg,493,250,8.6
Fahrenheit 451,RAY BRADBURY,1987,http://images.amazon.com/images/P/0345342968.01.LZZZZZZZ.jpg,409,204,8.5
The Secret Life of Bees,Sue Monk Kidd,2003,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,774,406,8.5
The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,898,494,8.4
The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg,494,218,8.2
The Joy Luck Club,Amy Tan,1991,http://images.amazon.com/images/P/0749399570.01.LZZZZZZZ.jpg,555,208,8.2
The Red Tent (Bestselling Backlist),Anita Diamant,1998,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg,723,383,8.2
The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg,1295,707,8.2
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg,585,295,8.1
Life of Pi,Yann Martel,2002,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,664,336,8.1
A Time to Kill,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg,549,214,8.0
Girl with a Pearl Earring,Tracy Chevalier,2001,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg,526,278,8.0
Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg,670,310,8.0
The Five People You Meet in Heaven,Mitch Albom,2003,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg,430,244,8.0
Good in Bed,Jennifer Weiner,2002,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg,490,247,8.0
Me Talk Pretty One Day,David Sedaris,2001,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg,457,218,7.9
The Notebook,Nicholas Sparks,1996,http://images.amazon.com/images/P/0446520802.01.LZZZZZZZ.jpg,650,293,7.9
Jurassic Park,Michael Crichton,1999,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg,488,212,7.9
Timeline,MICHAEL CRICHTON,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,552,263,7.9
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg,740,323,7.9
The Firm,John Grisham,1992,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg,569,224,7.8
Snow Falling on Cedars,David Guterson,1995,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg,662,275,7.8
Interview with the Vampire,Anne Rice,1993,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg,508,232,7.8
